title,series_launch_year,season_count,total,average,1s,2s,3s,4s,5s
TribeNine,2019,1,657,4,26,12,6,3,26
Trickster,2019,1,599,4,132,41,147,587,7.4
TRIGUNSTAMPEDE,2023,2,23545,4.5,1.4,1.3,2.7,5.3,14.9
TRINITYSEVEN,2017,3,8051,4.6,124,93,231,533,3.5
TrueCookingMasterBoy,2017,1,275,4.1,14,3,6,4,18
TryKnights,2021,1,463,3.4,477,191,529,1.3,7.6
TsubasaRESERVoirCHRoNiCLE,2017,1,996,4.6,21,18,53,142,554
Tsugumomo,2020,1,3136,4.6,85,74,117,334,2.5
Tsukigakirei,2017,1,5744,4.7,102,53,124,229,537
TSUKIMICHI-MoonlitFantasy-,2018,1,48910,4.9,260,140,403,1.6,6.3
TSUKIPROTHEANIMATION,2017,1,124,4,55,40,149,482,3.9
TSUKIUTA.THEANIMATION,2016,1,130,4.2,93,30,38,34,85
TsuredureChildren,2017,1,7161,4.6,851,509,1.5,5.4,43
Tsurune,2017,1,3226,4.8,157,93,325,1.2,16.6
TwinAngelsBREAK,2018,1,210,3.2,86,19,48,145,1.9
TwinStarExorcists,2023,3,7618,4.5,118,39,83,231,954
TWOCAR,2020,1,108,3.6,27,28,93,240,659
UFOUltramaidenValkyrie,2023,1,203,3.8,69,24,61,187,702
Ulysses:Jeanned'ArcandtheAlchemistKnight,2023,1,2201,3,42,22,102,439,3.9
Umamusume:PrettyDerby,2023,1,1782,4.6,140,15,16,39,506
UMAYON,2012,1,184,4.2,13,8,12,36,156
UndeadMurderFarce,2017,1,14546,4.9,14,4,1,5,17
UNDERNINJA,2015,1,2234,4.4,44,35,140,1,3.6
UniteUp!,2011,1,757,4.3,6,6,6,12,33
Upotte!!,2016,1,464,4,39,13,21,76,307
URAHARA,2022,1,149,3.7,110,29,29,79,323
UrawanoUsagi-chan,2022,1,110,3.4,57,43,91,316,2.9
UsagiDrop,2022,2,2529,4.7,50,35,91,282,3
Usakame,2018,1,63,3.7,81,93,244,534,1.1
Utawarerumono,2022,1,639,4.5,490,233,666,2.4,38
UtawarerumonoMaskofTruth,2013,1,1855,4.4,17,4,4,5,35
Uzaki-chanWantstoHangOut!,2022,1,23343,4.7,132,70,255,1.1,12.9
UzaMaid!,2022,1,657,4.3,116,86,222,393,1.2
ValkyrieDrive-Mermaid-,2023,2,1412,4.3,867,579,1.9,5,21.6
ValvravetheLiberator,2019,1,494,4.2,37,14,24,80,233
VAZZROCKTHEANIMATION,2022,1,912,2.1,85,39,112,335,1.6
VenusVersusVirus,2021,1,136,3.6,1.9,700,1.9,6.1,60.1
VINLANDSAGA,2018,1,53257,4.8,393,34,82,162,825
VIRTUALSAN-LOOKING,2019,1,132,2.4,642,295,1.1,4.3,50.7
Vivy-FluoriteEye'sSong-,2019,3,9480,4.9,554,244,605,2.4,20.6
VLADLOVE,2016,1,207,3.6,25,32,106,321,2
VOICEOFFOX,2015,1,463,4.1,517,274,792,2.7,40.4
W'z,2016,2,79,3.8,9,6,5,16,84
WackyTVNanana,2014,4,137,3.1,436,228,671,2.3,27.1
WagamamaHighSpec,2013,1,298,3.3,50,45,58,152,460
Wakakozake,2022,1,637,4.6,24,23,32,50,241
Wakakozake(Drama),2022,1,207,4.4,482,308,927,3.4,25.4
WakeUp,2019,2,209,4.2,641,349,1.3,5.4,42.2
WalkureRomanze,2021,1,878,4,9,4,9,10,51
WanderingWitch:TheJourneyofElaina,2023,1,6711,4.6,67,43,103,210,636
WarlordsofSigrdrifa,2018,1,323,4.1,58,49,72,115,363
WATATEN!:anAngelFlewDowntoMe,2019,3,1550,4.5,56,30,64,133,316
WAVE!!-Let'sgosurfing!!-,2018,1,757,4,1.7,537,822,2,18.5
Wave,2014,1,414,4.6,187,166,481,1.1,6.1
WeRentTsukumogami,2013,1,389,4.4,21,21,21,66,146
WelcometoDemonSchool!Iruma-kun,2018,1,41182,4.8,114,33,58,71,187
WelcometotheJAPARIPARK,2023,1,104,3.4,40,16,44,124,772
WhenSupernaturalBattlesBecameCommonplace,2019,1,2435,4.4,90,63,129,390,2.5
WhiteAlbum2,2019,1,1889,4.6,70,66,154,656,4.8
WhyDidYouCometoJapan?,2020,1,70,4.2,227,147,704,3.5,44.3
WhyRaelianaEndedUpattheDuke'sMansion,2021,1,27850,4.9,13,8,9,27,67
Whythehellareyouhere,2022,1,5549,4.4,15,4,7,16,88
WiseMan'sGrandchild,2014,1,28726,4.7,124,86,363,1.2,5.4
WithaDogANDaCat,2020,1,1107,4.5,28,24,72,400,2.7
WIXOSSDIVA(A)LIVE,2012,2,158,4,68,14,29,13,86
WONDEREGGPRIORITY,2015,1,8478,4.5,229,193,499,1.2,5.4
WonderMomo,2018,2,101,2.6,14,9,19,27,39
WoodpeckerDetective'sOffice,2015,1,244,3.9,39,9,16,30,109
Wooser'sHand-to-MouthLife,2014,2,55,3.3,644,242,373,276,666
Wooser’sHand-to-MouthLife:PhantasmagoricArc,2014,3,49,3.1,101,20,53,172,1.4
WorkingBuddies!,2022,1,158,4.3,16,9,14,24,121
WorldBreak:AriaofCurseforaHolySwordsman,2017,1,5933,4.4,105,58,213,930,13.2
WorldFoolNews,2022,1,54,3,166,58,96,269,1.6
WorldTrigger,2023,1,9163,4.7,77,14,45,92,529
World'sEndHarem,2018,1,15586,2.6,47,16,61,113,227
WorldEnd:Whatdoyoudoattheendoftheworld?Areyoubusy?Willyousaveus,2018,1,6427,4.7,19,15,23,31,61
X,2015,1,630,4.3,11,22,24,21,32
X\u0026Y,2021,1,1753,4.5,46,7,44,374,2.1
XuanYuanSwordLuminary,2019,4,192,3.6,7,8,9,10,29
Yamada'sFirstTime:BGataHKei,2021,1,1993,4.4,28,8,29,98,476
Yamada-kunandtheSevenWitches,2023,1,11303,4.7,130,55,101,216,1.4
Yashahime:PrincessHalf-Demon,2009,1,6040,4.4,661,262,817,2.7,18.9
Yatogame-chanKansatsuNikki,2014,1,423,4.2,48,23,53,118,415
Yes,2018,1,4717,4.3,146,34,93,151,988
YOHANETHEPARHELION-SUNSHINEintheMIRROR,2011,1,1583,4.3,29,30,37,103,295
YokuwakaruGendaiMaho,2012,1,1380,4.3,583,61,58,35,175
YonaoftheDawn,2018,1,18546,4.8,22,16,18,22,58
YotsuiroBiyori,2017,3,1356,4.8,1.1,487,899,2.6,48.2
YouandMe,2015,5,877,4.6,75,8,8,7,34
YouandMe2,2014,2,418,4.6,11,7,12,60,328
YouDon'tKnowGunmaYet,2016,1,133,3.5,21,10,26,34,42
YowamushiPedalNewGeneration,2014,3,2227,4.6,83,25,90,219,1.8
Yu-Gi-Oh!,2017,1,7321,4.5,530,110,306,853,5.5
Yu-Gi-Oh!5D's,2014,3,1622,4.5,126,27,75,155,1.2
Yu-Gi-Oh!ARC-V,2019,1,791,4.2,78,30,62,88,533
Yu-Gi-Oh!GX,2022,1,2387,4.3,224,54,142,298,1.7
Yu-Gi-Oh!VRAINS,2023,1,677,4.4,66,15,23,77,496
Yu-Gi-Oh!ZEXAL,2016,1,1189,3.8,231,61,96,152,649
YU-NO:AGirlWhoChantsLoveattheBoundofThisWorld,2012,1,861,4.1,83,47,88,153,490
YUREIDECO,2011,3,972,3.7,185,36,109,168,474
YuriIsMyJob!,2013,1,4404,4.2,503,148,318,617,2.8
Yuri!!!onICE,2020,1,17326,4.8,188,60,293,1.1,15.6
Yurumates3Dei,2023,1,111,3.9,11,10,13,18,59
YuruYuri,2018,2,2047,4.6,40,34,117,284,1.6
Zapuni,2013,1,70,3.6,17,5,5,8,35
ZoZoZombie,2020,1,80,3.1,29,8,2,6,35
Zom100:BucketListoftheDead,2023,1,45755,4.8,675,326,726,2.4,41.6
ZOMBIELANDSAGA,2018,2,7323,4.6,281,149,335,857,5.7
