title,series_launch_year,season_count,total,average,1s,2s,3s,4s,5s
DemonSlayer:KimetsunoYaiba,2019,4,342637,4.9,984,348,704,1.6,7.6
Demonbane,2010,1,430,4.2,1.1,793,1.5,1.9,7
DENKI-GAI,2014,1,708,4.4,1.2,682,1.7,5.9,72.8
DevilMayCry,2022,1,2654,4.6,51,44,153,668,5.9
DiaryofOurDaysattheBreakwater,2022,1,837,4.7,66,46,128,368,1.2
Didn'tIsaytomakemyabilitiesaverageinthenextlife,2019,1,9471,4.5,244,107,290,991,20.8
Diesirae,2017,1,782,3.7,37,48,90,184,715
DigimonAdventure,2021,1,851,4.6,46,39,124,318,714
DigimonAdventure02,2021,1,408,4.5,116,128,390,1.2,5.8
DigimonAdventuretri,2015,1,1334,4.5,18,24,40,150,636
DigimonAdventure:(2020),2020,1,3946,4.1,18,5,9,16,50
DigimonGhostGame,2021,1,2606,4.5,17,17,42,61,136
DimensionHighSchool,2019,1,70,2.3,1.4,349,409,282,777
DimensionW,2022,1,1624,4.6,27,15,33,44,113
Disgaea,2018,1,289,4,102,92,218,366,646
DivineGate,2016,1,671,3.4,35,16,54,198,655
DoItYourself!!,2022,1,5677,4.8,40,18,18,9,41
Don'tCallUsAJUNKGAME!,2020,1,108,3.6,72,44,105,147,718
Don'tHurtMe,2022,1,5119,3.3,12,10,24,42,117
DON'TTOYWITHME,2021,2,53537,4.6,30,25,72,132,193
Donyatsu,2015,1,102,3.9,108,11,16,11,63
DOUBLEDECKER!DOUG\u0026KIRILL,2018,1,444,4.2,78,5,3,2,15
Dr.Ramune-MysteriousDiseaseSpecialist-,2021,1,1529,4.6,74,4,3,3,29
Dr.STONE,2019,4,77349,4.8,56,37,80,184,672
DragonBallMovies,2023,1,6451,4.7,91,21,43,80,415
DragonBallSuper,2022,1,25934,4.6,55,32,89,234,1.6
DRAGONCOLLECTION,2014,1,99,3.9,176,53,137,425,3.3
DragonCrisis,2011,1,2144,4.4,46,13,28,57,559
DragonGoesHouse-Hunting,2022,1,1766,4.3,27,13,36,115,913
DRAGONQUESTTheAdventureofDai,2020,1,6790,4.7,97,63,110,150,263
DragonarAcademy,2022,1,3266,4.2,17,7,15,26,100
DRAMAticalMurder,2014,1,1618,4.3,52,23,37,26,84
DREAMFESTIVAL!,2016,2,163,4.2,154,38,99,445,3.7
DropkickonMyDevil!,2022,3,2612,4.5,232,122,224,259,657
DropoutIdolFruitTart,2022,1,418,4.4,27,32,84,138,457
DrowningSorrowsinRagingFire,2022,1,374,4.4,85,44,113,267,1.5
DrugStoreinAnotherWorld-TheSlowLifeofaCheatPharmacist,2021,1,6153,3.9,206,126,307,793,3.3
EAGLETALON~GoldenSpell~,2020,1,53,3.1,1.5,722,1.6,4.5,37.7
EdenoftheEast,2023,2,1272,4.6,390,181,441,1.2,10.7
EDENSZERO,2023,2,5178,4.7,37,20,60,208,1.3
elDLIVE,2017,1,326,3.8,6,8,6,13,65
ElegantYokaiApartmentLife,2017,1,1700,4.6,13,3,9,10,39
Endride,2022,1,643,3.6,392,255,790,2.6,22.5
EngageKiss,2022,1,14697,4.6,49,24,130,498,3.1
EnsembleStars,2022,1,309,4.5,532,468,1.3,3.6,15.7
ErgoProxy,2022,1,1293,4.6,45,58,151,518,2.2
ESTABLIFE:GreatEscape,2022,1,677,3.6,122,73,145,236,554
ETOTAMA,2015,1,253,4.1,40,13,5,10,14
EurekaSevenAO,2022,1,522,4.1,402,204,738,1.9,5.2
EVILORLIVE,2017,1,592,3.6,111,100,363,1.2,7.6
EX-ARM,2021,1,2257,1.8,3.5,1.2,3.1,11.5,323.4
ExtraOlympiaKyklos,2020,1,286,3.9,19,24,51,102,234
ExtremeHearts,2022,1,945,4.2,24,17,59,135,473
Eyeshield21,2008,3,9830,4.7,85,45,138,330,2.1
FairiesAlbum,2022,1,1091,4,14,8,28,77,710
Fairygone,2022,1,1374,4.2,261,231,722,2,6.2
FairyMusketeers,2008,1,1043,4.6,111,78,114,134,345
FairyRanmaru,2021,1,673,3.6,49,14,30,79,679
FairyTail,2022,2,21421,4.6,18,13,23,65,289
FanChronicles:ACrunchyrollDocumentarySeries,2019,1,119,1.7,52,52,74,156,1
FanService,2018,1,135,2.6,519,170,294,483,2.5
FanfareofAdolescence,2022,1,724,3.9,166,70,127,271,2
FantasiaSango-RealmofLegends,2022,1,374,3.1,35,7,9,7,12
Farewell,2021,2,775,4.1,33,18,92,282,1.2
FastestFingerFirst,2017,1,420,4.2,32,15,32,53,157
Fate/GrandCarnival,2022,1,1227,4.7,134,57,127,115,238
Fate/kaleidlinerPRISMAILLYA,2013,4,1193,4.4,81,37,153,570,4.8
Fate/strangeFake-WhispersofDawn-,2023,1,4833,4.9,14,12,15,25,42
Fena:PiratePrincess,2022,1,8139,4.4,1.3,547,609,727,1.9
FightLeague:GearGadgetGenerators,2019,1,100,3.8,2.2,671,1.7,5.6,43.4
FINALFANTASYXV:EPISODEARDYN–PROLOGUE,2019,1,295,4.5,12,10,11,15,54
FireForce,2019,2,40932,4.7,26,18,52,102,246
FirefighterDaigo:RescuerinOrange,2023,1,1631,4.5,51,24,74,257,1.1
FIRSTLOVEMONSTER,2016,1,847,2.8,936,620,1.6,6.1,68.1
FLCL,2019,2,1643,4.1,265,62,143,331,5.7
FLOW,2022,1,147,3.8,1.3,348,844,2.2,21.2
FlyingWitch,2016,1,2680,4.7,17,3,10,11,58
FolktalesfromJapan,2012,2,234,4.6,51,58,176,538,1.3
FoodWars!ShokugekinoSoma,2019,4,24220,4.7,97,54,140,335,1.1
ForWhomTheAlchemistExistsTheMovie,2021,1,451,4.2,184,93,222,587,5.7
FORESTFAIRYFIVE,2017,2,127,2.3,231,135,321,679,1.9
Fractale,2017,1,339,4.2,78,68,158,335,979
FrankensteinFamily,2018,1,666,3.6,18,6,9,26,104
FreakAngels,2022,1,1049,3.1,153,47,128,301,2
Free!-IwatobiSwimClub,2013,8,6617,4.7,25,9,26,66,292
Frieren:BeyondJourney'sEnd,2023,1,38660,4.9,33,7,17,49,268
FruitsBasket,2019,4,35621,4.9,730,412,792,1.3,2.9
FullDive:ThisUltimateNext-GenFullDiveRPGIsEvenShittierthanRealLife!,2022,1,7634,4.4,19,3,5,4,22
FullMetalPanic!InvisibleVictory,2018,1,1199,4.7,32,28,67,170,975
FullMetalPanic!TheSecondRaid,2018,1,1239,4.7,186,53,194,424,4.3
FushigiYugi,2016,1,1326,4.5,41,21,48,73,143
FushigiYugiOVA,2016,1,314,4.4,34,28,80,272,1.3
FushigiYugi:Eikoden,2016,1,269,3.9,108,54,90,118,273
FutsalBoys!!!!!,2022,1,693,3.7,448,266,837,2.2,10.9
FutureCardBuddyfight,2014,5,220,4.3,23,7,13,25,241
Fuuka,2017,1,2315,4.2,32,17,48,182,1
FUUTOPI,2022,1,3484,4.7,126,41,94,150,266
GAGeijutsukaArtDesignClass,2011,1,155,4.2,21,13,26,48,145
Ga-Rei-Zero,2023,1,822,4.2,40,28,50,114,290
GabrielDropOut,2017,1,2762,4.6,86,59,98,132,217
GakuenHandsome,2016,1,789,4.3,1.7,104,53,39,348
Gal\u0026Dino,2022,1,198,3.5,57,9,18,25,177
GAMERS!,2017,1,8890,4.3,77,40,75,147,606
GANBAREDOUKICHAN,2021,1,2881,4.4,183,68,255,1.8,7.5
Gangsta.,2015,1,829,4.6,186,24,76,160,645
Garakowa-RestoretheWorld-,2017,1,249,3.7,67,61,183,286,777
GARO-VANISHINGLINE-,2011,2,794,4.4,30,14,49,171,779
gdgdFairies,2018,1,1341,2.3,148,46,70,99,310
gdgdmen'sparty,2018,1,81,2.8,762,390,891,2.2,17.2
GeGeGenoKitaro,2022,1,393,4.5,94,4,4,1,16
Gekidol,2013,1,102,3.4,72,5,7,6,45
GenshikenSecondSeason,2020,1,304,4.2,84,38,96,125,381
GIBIATE,2013,1,1702,2.3,116,28,63,34,133
GifuDodo!!KanetsuguandKeiji,2013,1,72,4.1,68,50,69,155,433
Gingitsune:MessengerFoxoftheGods,2009,8,529,4.5,18,18,59,110,215
Gintama,2014,1,24104,4.8,45,16,28,72,1.1
GirlFriendBETA,2021,2,186,3.9,81,29,56,178,849
Girlfriend,2022,1,19306,4.4,57,12,45,196,4.5
GirlsBravo,2022,1,3715,3.7,284,263,650,1.4,5.5
Girls'Frontline,2019,1,723,4.3,11,10,14,19,46
GirlyAirForce,2019,3,759,4.2,9,4,24,45,213
given,2021,1,27803,4.8,556,408,1.2,5,33.8
given(Drama),2022,1,966,4.1,87,30,88,190,1.2
Gleipnir,2021,1,7265,4.6,313,101,120,84,229
GLOOMYTHENAUGHTYGRIZZLY,2018,3,347,4.1,124,72,180,362,905
GOBLINSLAYER,2018,1,40548,4.8,39,3,2,8,95
GoldenKamuy,2014,1,9597,4.8,40,29,112,392,2.1
GonnaBetheTwin-Tail!!,2022,1,163,4.1,9,5,6,34,180
GoodLuck!Ninomiya-kun,2022,1,187,4.3,546,239,717,2.6,20.1
Gosick,2019,1,2346,4.7,26,18,47,107,253
GRANBELM,2020,1,283,4.1,78,8,6,1,34
GrandBlues!,2019,1,242,3.5,19,20,37,67,196
GrimmsNotestheAnimation,2015,1,267,3.4,82,68,144,126,246
GTO-TheAnimation,2022,1,5508,4.9,327,65,133,175,349
GunXSword,2022,2,744,4.3,125,67,305,877,5.2
GundamBuildDivers,2017,2,455,4.5,309,135,253,686,37.3
